# Resultados Derivación Numérica
Tiempo	 Posición	 Velocidad	 Error_velocidad	 Aceleración	 Error_aceleración 
4.12800000	 5.22162000	 2.36750000	 0.00006240	 0.46440972	 0.08802572
4.15200000	 5.27858000	 2.37854167	 0.00000075	 0.46006944	 0.09175287
4.17600000	 5.33579000	 2.38958333	 0.00003728	 0.46440972	 0.08680161
4.20000000	 5.39328000	 2.40083333	 0.00016107	 0.46006944	 0.09053304
4.22400000	 5.45103000	 2.41166667	 0.00003075	 0.45572917	 0.09426661
4.24800000	 5.50904000	 2.42270833	 0.00001220	 0.45572917	 0.09366201
4.27200000	 5.56732000	 2.43354167	 0.00012683	 0.45572917	 0.09305953
4.29600000	 5.62585000	 2.44458333	 0.00003121	 0.46006944	 0.08811888
4.32000000	 5.68466000	 2.45562500	 0.00009064	 0.45138889	 0.09620115
4.34400000	 5.74372000	 2.46625000	 0.00017800	 0.45138889	 0.09560495
4.36800000	 5.80304000	 2.47729167	 0.00000386	 0.46006944	 0.08633027
4.39200000	 5.86263000	 2.48833333	 0.00019633	 0.45138889	 0.09441877
4.41600000	 5.92248000	 2.49895833	 0.00000584	 0.44270833	 0.10250932
4.44000000	 5.98258000	 2.50958333	 0.00015872	 0.44704861	 0.09758110
4.46400000	 6.04294000	 2.52041667	 0.00008909	 0.45138889	 0.09265491
4.48800000	 6.10356000	 2.53125000	 0.00000635	 0.45138889	 0.09207104
4.51200000	 6.16444000	 2.54208333	 0.00012753	 0.44704861	 0.09582946
4.53600000	 6.22558000	 2.55270833	 0.00006605	 0.44270833	 0.09958991
4.56000000	 6.28697000	 2.56333333	 0.00003019	 0.44270833	 0.09901208
4.58400000	 6.34862000	 2.57395833	 0.00001989	 0.43836806	 0.10277653
4.60800000	 6.41052000	 2.58437500	 0.00017326	 0.43836806	 0.10220269
4.63200000	 6.47267000	 2.59500000	 0.00013263	 0.44704861	 0.09295027
4.65600000	 6.53508000	 2.60583333	 0.00014169	 0.44270833	 0.09672067
4.68000000	 6.59775000	 2.61625000	 0.00002467	 0.43402778	 0.10483330
4.70400000	 6.66066000	 2.62666667	 0.00006711	 0.43836806	 0.09992706
4.72800000	 6.72383000	 2.63729167	 0.00007463	 0.43836806	 0.09936305
4.75200000	 6.78725000	 2.64770833	 0.00003318	 0.43402778	 0.10314126
4.77600000	 6.85092000	 2.65812500	 0.00001679	 0.43402778	 0.10258112
4.80000000	 6.91484000	 2.66854167	 0.00002541	 0.42968750	 0.10636318
4.82400000	 6.97901000	 2.67875000	 0.00014935	 0.42968750	 0.10580688
4.84800000	 7.04342000	 2.68916667	 0.00009089	 0.43402778	 0.10091222
4.87200000	 7.10809000	 2.69958333	 0.00000760	 0.43402778	 0.10035973
4.89600000	 7.17300000	 2.71000000	 0.00010046	 0.42968750	 0.10414941
4.92000000	 7.23817000	 2.72020833	 0.00002489	 0.42534722	 0.10794098
4.94400000	 7.30357000	 2.73041667	 0.00002602	 0.42968750	 0.10305387
4.96800000	 7.36923000	 2.74083333	 0.00015600	 0.42534722	 0.10684918
4.99200000	 7.43513000	 2.75083333	 0.00005412	 0.42100694	 0.11064636
5.01600000	 7.50127000	 2.76104167	 0.00003143	 0.42534722	 0.10576483
5.04000000	 7.56766000	 2.77125000	 0.00001568	 0.42100694	 0.10956571
5.06400000	 7.63429000	 2.78125000	 0.00012119	 0.42100694	 0.10902815
5.08800000	 7.70116000	 2.79145833	 0.00002542	 0.42534722	 0.10415214
5.11200000	 7.76828000	 2.80166667	 0.00009458	 0.42100694	 0.10795851
5.13600000	 7.83564000	 2.81166667	 0.00003044	 0.41666667	 0.11176670
5.16000000	 7.90324000	 2.82166667	 0.00000958	 0.41666667	 0.11123642
5.18400000	 7.97108000	 2.83166667	 0.00002554	 0.41666667	 0.11070793
5.20800000	 8.03916000	 2.84166667	 0.00001748	 0.41666667	 0.11018125
5.23200000	 8.10748000	 2.85166667	 0.00001453	 0.41666667	 0.10965635
5.25600000	 8.17604000	 2.86166667	 0.00007043	 0.41232639	 0.11347351
5.28000000	 8.24484000	 2.87145833	 0.00005816	 0.40798611	 0.11729243
5.30400000	 8.31387000	 2.88125000	 0.00016298	 0.41232639	 0.11243257
5.32800000	 8.38314000	 2.89125000	 0.00003573	 0.41666667	 0.10757447
5.35200000	 8.45265000	 2.90125000	 0.00011518	 0.41232639	 0.11139867
5.37600000	 8.52240000	 2.91104167	 0.00008136	 0.40364583	 0.11956489
5.40000000	 8.59238000	 2.92062500	 0.00013723	 0.40364583	 0.11905230
5.42400000	 8.66259000	 2.93041667	 0.00012400	 0.41232639	 0.10986088
5.44800000	 8.73304000	 2.94041667	 0.00012101	 0.40798611	 0.11369201
5.47200000	 8.80373000	 2.95000000	 0.00002726	 0.39930556	 0.12186513
5.49600000	 8.87464000	 2.95958333	 0.00015221	 0.40798611	 0.11267886
5.52000000	 8.94579000	 2.96958333	 0.00016278	 0.40798611	 0.11217484
5.54400000	 9.01718000	 2.97916667	 0.00008432	 0.39496528	 0.12469334
5.56800000	 9.08879000	 2.98854167	 0.00017931	 0.39930556	 0.11985243
5.59200000	 9.16063000	 2.99833333	 0.00000317	 0.40798611	 0.11067291
5.61600000	 9.23271000	 3.00812500	 0.00019602	 0.39930556	 0.11885619
5.64000000	 9.30502000	 3.01750000	 0.00000154	 0.39062500	 0.12704113
5.66400000	 9.37755000	 3.02687500	 0.00017001	 0.39930556	 0.11786661
5.68800000	 9.45031000	 3.03666667	 0.00009800	 0.39930556	 0.11737431
5.71200000	 9.52331000	 3.04604167	 0.00002783	 0.39062500	 0.12556421
5.73600000	 9.59652000	 3.05541667	 0.00013088	 0.39496528	 0.12073492
5.76000000	 9.66997000	 3.06500000	 0.00000288	 0.39496528	 0.12024754
5.78400000	 9.74364000	 3.07437500	 0.00006055	 0.39496528	 0.11976178
5.80800000	 9.81754000	 3.08395833	 0.00011272	 0.39496528	 0.11927765
5.83200000	 9.89167000	 3.09333333	 0.00010022	 0.38628472	 0.12747569
5.85600000	 9.96602000	 3.10250000	 0.00009811	 0.38628472	 0.12699477
5.88000000	 10.04059000	 3.11187500	 0.00006566	 0.39062500	 0.12217519
5.90400000	 10.11539000	 3.12125000	 0.00001081	 0.39062500	 0.12169747
5.92800000	 10.19041000	 3.13062500	 0.00006637	 0.39062500	 0.12122134
5.95200000	 10.26566000	 3.14000000	 0.00016585	 0.38194444	 0.12942736
5.97600000	 10.34113000	 3.14895833	 0.00012911	 0.37760417	 0.13329467
6.00000000	 10.41681000	 3.15812500	 0.00019355	 0.39062500	 0.11980243
6.02400000	 10.49272000	 3.16770833	 0.00018081	 0.39062500	 0.11933260
6.04800000	 10.56886000	 3.17687500	 0.00016057	 0.37760417	 0.13188515
6.07200000	 10.64521000	 3.18583333	 0.00004598	 0.37760417	 0.13141843
6.09600000	 10.72178000	 3.19500000	 0.00002223	 0.38194444	 0.12661297
6.12000000	 10.79857000	 3.20416667	 0.00002344	 0.37760417	 0.13048960
6.14400000	 10.87558000	 3.21312500	 0.00011736	 0.37760417	 0.13002749
6.16800000	 10.95280000	 3.22229167	 0.00002801	 0.38194444	 0.12522663
6.19200000	 11.03025000	 3.23145833	 0.00008309	 0.37760417	 0.12910784
6.21600000	 11.10791000	 3.24041667	 0.00000757	 0.37326389	 0.13299057
6.24000000	 11.18579000	 3.24937500	 0.00004630	 0.37326389	 0.13253453
6.26400000	 11.26388000	 3.25833333	 0.00007856	 0.37760417	 0.12773971
6.28800000	 11.34219000	 3.26750000	 0.00011906	 0.37326389	 0.13162695
6.31200000	 11.42072000	 3.27625000	 0.00007848	 0.36892361	 0.13551567
6.33600000	 11.49945000	 3.28520833	 0.00004624	 0.37326389	 0.13072533
6.36000000	 11.57841000	 3.29416667	 0.00000739	 0.36892361	 0.13461702
6.38400000	 11.65757000	 3.30291667	 0.00012596	 0.36892361	 0.13416991
6.40800000	 11.73695000	 3.31187500	 0.00002969	 0.37326389	 0.12938398
6.43200000	 11.81654000	 3.32083333	 0.00008783	 0.36892361	 0.13328007
6.45600000	 11.89635000	 3.32958333	 0.00001821	 0.36458333	 0.13717762
6.48000000	 11.97636000	 3.33833333	 0.00003027	 0.36892361	 0.13239607
6.50400000	 12.05659000	 3.34729167	 0.00015067	 0.36458333	 0.13629651
6.52800000	 12.13703000	 3.35583333	 0.00006401	 0.36024306	 0.14019839
6.55200000	 12.21767000	 3.36458333	 0.00004937	 0.36458333	 0.13542115
6.57600000	 12.29853000	 3.37333333	 0.00001379	 0.36458333	 0.13498561
6.60000000	 12.37959000	 3.38208333	 0.00004267	 0.36458333	 0.13455150
6.62400000	 12.46087000	 3.39083333	 0.00011998	 0.36024306	 0.13845908
6.64800000	 12.54235000	 3.39937500	 0.00000975	 0.35590278	 0.14236807
6.67200000	 12.62404000	 3.40791667	 0.00007975	 0.35590278	 0.14193819
6.69600000	 12.70593000	 3.41645833	 0.00014855	 0.36024306	 0.13716944
6.72000000	 12.78803000	 3.42520833	 0.00001162	 0.36024306	 0.13674235
6.74400000	 12.87034000	 3.43375000	 0.00001596	 0.35590278	 0.14065693
6.76800000	 12.95285000	 3.44229167	 0.00002299	 0.35590278	 0.14023262
6.79200000	 13.03557000	 3.45083333	 0.00000953	 0.35590278	 0.13980969
6.81600000	 13.11849000	 3.45937500	 0.00002437	 0.35590278	 0.13938813
6.84000000	 13.20162000	 3.46791667	 0.00007867	 0.35156250	 0.14330821
6.86400000	 13.28495000	 3.47625000	 0.00005502	 0.35156250	 0.14288938
6.88800000	 13.36848000	 3.48479167	 0.00003992	 0.35156250	 0.14247190
6.91200000	 13.45222000	 3.49312500	 0.00005323	 0.34722222	 0.14639606
6.93600000	 13.53615000	 3.50145833	 0.00012618	 0.35156250	 0.14164101
6.96000000	 13.62029000	 3.51000000	 0.00002936	 0.35156250	 0.14122757
6.98400000	 13.70463000	 3.51833333	 0.00000333	 0.34722222	 0.14515576
7.00800000	 13.78917000	 3.52666667	 0.00001597	 0.34722222	 0.14474499
7.03200000	 13.87391000	 3.53500000	 0.00000861	 0.34722222	 0.14433555
7.05600000	 13.95885000	 3.54333333	 0.00001872	 0.34722222	 0.14392743
7.08000000	 14.04399000	 3.55166667	 0.00006596	 0.34722222	 0.14352063
7.10400000	 14.12933000	 3.56000000	 0.00013305	 0.34288194	 0.14745541
7.12800000	 14.21487000	 3.56812500	 0.00001163	 0.33854167	 0.15139151
7.15200000	 14.30060000	 3.57625000	 0.00009002	 0.34288194	 0.14664834
7.17600000	 14.38653000	 3.58458333	 0.00003638	 0.34288194	 0.14624675
7.20000000	 14.47266000	 3.59270833	 0.00002587	 0.33854167	 0.15018673
7.22400000	 14.55898000	 3.60083333	 0.00006851	 0.34288194	 0.14544744
7.24800000	 14.64550000	 3.60916667	 0.00011677	 0.34288194	 0.14504971
7.27200000	 14.73222000	 3.61729167	 0.00011325	 0.33420139	 0.15333381
7.29600000	 14.81913000	 3.62520833	 0.00007912	 0.33420139	 0.15293863
7.32000000	 14.90623000	 3.63333333	 0.00004372	 0.33854167	 0.14820443
7.34400000	 14.99353000	 3.64145833	 0.00001107	 0.33420139	 0.15215205
7.36800000	 15.08102000	 3.64937500	 0.00012312	 0.33420139	 0.15176066
7.39200000	 15.16870000	 3.65750000	 0.00002968	 0.33854167	 0.14703023
7.41600000	 15.25658000	 3.66562500	 0.00008301	 0.33420139	 0.15098161
7.44000000	 15.34465000	 3.67354167	 0.00000657	 0.32986111	 0.15493423
7.46400000	 15.43291000	 3.68145833	 0.00005071	 0.32986111	 0.15454781
7.48800000	 15.52136000	 3.68937500	 0.00008887	 0.33420139	 0.14982235
7.51200000	 15.61000000	 3.69750000	 0.00010037	 0.33420139	 0.14943839
7.53600000	 15.69884000	 3.70541667	 0.00010030	 0.32552083	 0.15773621
7.56000000	 15.78786000	 3.71312500	 0.00008913	 0.32552083	 0.15735470
7.58400000	 15.87707000	 3.72104167	 0.00005129	 0.32986111	 0.15263412
7.60800000	 15.96647000	 3.72895833	 0.00000544	 0.32986111	 0.15225503
7.63200000	 16.05606000	 3.73687500	 0.00008100	 0.32552083	 0.15621743
7.65600000	 16.14584000	 3.74458333	 0.00003297	 0.32118056	 0.16018102
7.68000000	 16.23580000	 3.75229167	 0.00012819	 0.32552083	 0.15546526
7.70400000	 16.32595000	 3.76020833	 0.00000363	 0.32986111	 0.15075068
7.72800000	 16.41629000	 3.76812500	 0.00015412	 0.32552083	 0.15471785
7.75200000	 16.50682000	 3.77583333	 0.00011488	 0.31684028	 0.16302649
7.77600000	 16.59753000	 3.78333333	 0.00011412	 0.31684028	 0.16265574
7.80000000	 16.68842000	 3.79104167	 0.00011625	 0.32552083	 0.15360561
7.82400000	 16.77950000	 3.79895833	 0.00010843	 0.32118056	 0.15757749
7.84800000	 16.87077000	 3.80645833	 0.00006512	 0.31684028	 0.16155053
7.87200000	 16.96221000	 3.81416667	 0.00001194	 0.32118056	 0.15684418
7.89600000	 17.05385000	 3.82187500	 0.00005959	 0.31684028	 0.16081954
7.92000000	 17.14566000	 3.82937500	 0.00005891	 0.31684028	 0.16045577
7.94400000	 17.23766000	 3.83708333	 0.00004919	 0.31684028	 0.16009315
7.96800000	 17.32984000	 3.84458333	 0.00003283	 0.31250000	 0.16407195
7.99200000	 17.42220000	 3.85208333	 0.00009667	 0.31684028	 0.15937134
8.01600000	 17.51474000	 3.85979167	 0.00006595	 0.31684028	 0.15901214
